year,ready_reckoner_value,registration_date,purchaser_age,purchaser_pincode,final_area_sqft,purchaser_micromarket,developer_name,micromarket,project_pincode,primary_or_secondary,floor,rera_project_status,completion_date
2022,"70,02,357",05-09-2022,93,110008,763,Airoli,AAFCON DEVELOPERS,Kandivali East,400101,P,1,U/C,03-11-2017
2020,"1,89,06,967",26-10-2020,89,110014,743,Ajmer city,Acme Group,,400057,S,2,Completed,29-12-2017
2019,"2,52,63,932",20-09-2019,87,110018,382,Akola,Akshay Group,,400067,,3,,06-02-2019
2024,"1,83,48,749",23-08-2024,86,110019,766,Alibaug,AKURLI,,,,4,,02-08-2019
2021,"1,68,30,134",15-06-2024,85,110025,837,Allapur - SRT Nagar,Akurli Developer,,,,5,,03-10-2019
2025,"96,05,183",14-12-2021,84,110027,753,Ambawadi,Anaaya Buildcon,,,,6,,04-12-2019
2023,"61,05,155",24-01-2022,83,110034,423,Anant Nagar,Araddhana Enterprises,,,,7,,17-11-2020
,"79,56,587",08-02-2025,82,110035,556,Andheri East,Bhoomi Realtors,,,,8,,02-02-2021
,"85,73,000",07-02-2019,81,110046,"1,455",Andheri East - Asalpha,BP Infra Projects LLP,,,,9,,27-03-2021
,"1,49,39,018",01-12-2020,80,110047,718,Andheri East - Mumbai Airport,BREDCO,,,,10,,28-07-2021
,"1,16,84,100",23-04-2021,79,110048,751,Andheri East - Sakinaka,Cooperative Group,,,,11,,25-12-2021
,"1,33,87,338",06-06-2019,78,110049,918,Andheri West,Crescent Group,,,,12,,30-03-2022
,"91,49,942",24-11-2021,77,110051,355,Andheri West - D.N. Nagar,Damji Hari Infrastructure,,,,13,,01-04-2022
,"59,48,352",18-02-2025,76,110053,620,Antop Hill,Dattani Groups,,,,14,,05-08-2022
,"50,92,476",30-11-2023,75,110054,"1,163","Ashok Nagar, West Delhi ",Dershan Developers,,,,15,,26-08-2022
,"1,01,39,993",03-07-2024,74,110057,379,Aundh,DGS Group,,,,16,,29-09-2022
,"1,37,77,399",07-07-2023,73,110058,516,Aurangabad-Central,DPS Buildcon,,,,17,,30-09-2022
,"1,11,29,746",10-01-2023,72,110059,781,Aurangabad-North East,DS Kulkarni Developers Ltd,,,,18,,14-11-2022
,"42,87,801",02-03-2021,71,110060,677,Badlapur,Evershine Builders,,,,19,,25-11-2022
,"87,98,358",11-10-2021,70,110063,626,Ballygunge,Evershine Group,,,,20,,30-12-2022
,"74,83,736",05-07-2021,69,110065,425,Ballygunge-South,Godrej Properties,,,,21,,28-02-2023
,"1,05,63,210",23-04-2019,68,110070,860,Bandra East,Gokul Builders,,,,22,,20-12-2023
,"1,46,54,254",01-04-2021,67,110074,225,Bandra West,Gokul Developers,,,,23,,30-12-2023
,"1,17,18,419",16-02-2025,66,110075,756,Baner Gaon,Goodwill Developers,,,,24,,31-03-2024
,"1,37,34,843",18-01-2025,65,110077,296,Bavdhan,Gundecha Builders,,,,25,,30-07-2024
,"93,69,185",19-06-2024,64,110085,856,Beawar,Gundecha Group,,,,26,,01-10-2024
,"1,81,38,498",20-12-2019,63,110087,"1,610",Begumpet,House Code Infra,,,,27,,12-10-2024
,"60,67,275",04-02-2021,62,110088,391,Bengaluru South-HSR Layout,Jayesh Pandya,,,,28,,30-10-2024
,"77,42,412",10-05-2024,61,110091,624,Bengaluru South-Hulimavu,Kalpataru Group,,,,29,,29-12-2024
,"1,24,92,699",24-03-2023,60,110092,520,Bhandup East,Kanakia Spaces,,,,30,,30-12-2024
,"2,06,81,649",23-10-2023,59,110093,699,Bhandup West,Kaustubh Constructions,,,,31,,31-12-2024
,"1,50,53,079",03-11-2020,58,110095,437,Bharat Nagar - Moula Ali,KAUSTUBH GROUP,,,,32,,02-02-2025
,"1,79,02,082",10-09-2024,57,110096,428,Bhayander East,Keemaya,,,,33,,01-03-2025
,"1,73,08,577",07-08-2024,56,121001,769,Bhayander West,Lodha Group,,,,34,,31-03-2025
,"1,51,70,015",01-02-2021,55,121002,698,Bhilwara,Lokhande Developers,,,,35,,30-04-2025
,"2,05,31,534",25-11-2024,54,121009,"1,059",Bhiwandi,Lokhandwala,,,,36,,31-05-2025
,"1,16,10,477",11-10-2024,53,122001,642,Bhoke(Raigad),Lokhandwala Builders,,,,37,,29-06-2025
,"53,34,975",18-08-2021,52,122002,389,Bhopal-1100 Qtrs,LOKHANDWALA CONSTRUCTION,,,,38,,30-06-2025
,"92,65,373",01-03-2024,51,122003,403,Bhopal-Bazaria Shahajahanabad,Lokhandwala Infrastructure,,,,39,,31-08-2025
,"69,98,082",30-12-2020,50,122004,761,Bhowanipore(Kolkata),"M/s. CHAITYA DEVELOPERS	",,,,40,,30-09-2025
,"91,55,456",13-06-2024,49,122011,745,Bhusawal,"MACHHINDRA VASANT JADHAV	",,,,41,,31-10-2025
,"2,11,58,497",24-11-2023,48,122017,772,Bibvewadi,Mahaveer Construction and JP Developers,,,,42,,30-12-2025
,"72,44,856",04-05-2024,47,122018,365,Birwadi,Mahaveer Developers,,,,43,,31-12-2025
,"48,68,044",24-01-2020,46,122101,414,Bodakdev,Mahavir Constructions,,,,44,,31-07-2026
,"73,86,889",16-10-2023,45,122505,897,Boisar,Mahindra Lifespaces,,,,45,,30-11-2026
,"1,24,26,960",20-10-2023,44,124146,305,Boisar - Tarapur Road,Oberoi Realty,,,,46,,30-12-2026
,"1,22,96,768",17-10-2019,43,125001,484,Boisar MIDC,Pratik constructions,,,,47,,31-12-2026
,"1,30,38,044",14-06-2022,42,127021,575,Bopal,Raheja Universal,,,,48,,28-02-2027
,"1,27,26,800",24-12-2020,41,132001,645,Borivali East,Raj Group,,,,49,,30-06-2027
,"85,46,318",30-03-2022,40,132117,409,Borivali West,Rajesh Lifespaces,,,,50,,31-07-2027
,"1,43,20,962",24-10-2019,39,134003,247,Borivali West - Eksar,Reputed Developer,,,,51,,30-11-2027
,"1,20,99,227",08-10-2021,38,134109,766,Borivali West - Gorai,RNA,,,,52,,30-12-2027
,"84,98,580",16-05-2024,37,134116,403,Byculla,Royal Realtors Group,,,,53,,31-12-2027
,"68,30,308",20-09-2024,36,135001,665,CBD Belapur,Sadguru Developers,,,,54,,31-12-2028
,"62,62,376",07-02-2020,35,136128,620,Chakala - MIDC,Sai Aastha Developers,,,,55,,31-01-2029
,"2,28,48,329",12-08-2021,34,141001,733,Chandrakiran Nagar,SANGHVI REALTY,,,,56,,08-11-2029
,"1,62,12,356",28-02-2023,33,141002,563,Changpole-Jalupura,SD Corp,,,,57,,31-12-2029
,"32,95,132",24-01-2023,32,141008,652,Chembur,Sethia Infrastructure,,,,58,,30-06-2030
,"56,33,876",23-10-2019,31,141010,220,Chembur - Tilak Nagar,Sheth Deveopers,,,,G,,31-12-2030
,"59,41,643",26-09-2023,30,141012,757,Chembur - Trombay,Shivam Builders And Developers,,,,P3/1,,
,"56,49,981",22-08-2024,29,143001,628,Chinchani - Wadhavan,SHIVAM GROUP,,,,P4,,
,"83,07,525",30-04-2024,28,143008,720,Chinchwad East,Shivam Universe,,,,,,
,"55,53,280",12-11-2024,27,143204,617,Chiplun,Shreenath Developers,,,,,,
,"84,62,000",16-05-2019,26,144224,687,Chitalsar Manpada,shri ganesh krupa,,,,,,
,"68,40,665",12-04-2021,25,144801,377,Chopasni Housing Board,Siddharth Group,,,,,,
,"1,10,72,807",12-06-2023,24,146109,612,Churchgate,Surya Constructions,,,,,,
,"1,25,51,411",09-01-2020,23,147001,519,Colaba,Surya Group,,,,,,
,"34,35,000",03-02-2021,22,151202,520,Cumballa Hill,Thakur Group,,,,,,
,"94,18,638",20-09-2022,21,160030,407,Dadar,The Kandivali Metal Works,,,,,,
,"75,34,160",27-02-2020,20,160036,511,Dahanu,Tirupathi,,,,,,
,"83,56,465",17-10-2024,19,160047,841,Dahisar,Tirupati Balaji Builcon,,,,,,
,"42,05,336",23-12-2022,18,160062,414,Dattatray Nagar,UK REALTY,,,,,,
,"1,60,78,649",25-06-2024,,173001,571,Dehradun-Central,Vaibhavlaxmi Developers,,,,,,
,"59,71,553",29-01-2025,,176060,429,Dhankawadi,Veena Developers,,,,,,
,"1,37,01,860",15-12-2022,,190015,593,Dhanore - Chimbali Pune,Viceroy Properties,,,,,,
,"94,71,565",16-10-2024,,201001,497,Dhanori,Wadhwa Group,,,,,,
,"1,60,92,935",01-04-2022,,201002,771,Dhantoli,White Berry Realspaces,,,,,,
,"79,13,970",07-07-2024,,201005,591,Dharavi,Yashraj Properties,,,,,,
,"86,15,062",05-08-2022,,201009,559,Dhule,Yogsiddhi Developers,,,,,,
,"1,31,57,156",04-09-2020,,201010,815,Dombivali,,,,,,,
,"43,89,113",01-10-2021,,201012,"1,002",Dombivali - Vishnunagar,,,,,,,
,"2,56,20,461",23-01-2023,,201014,427,Dwarka,,,,,,,
,"87,25,983",14-06-2024,,201016,561,East Delhi-Ghazipur,,,,,,,
,"1,73,22,899",13-08-2021,,201301,329,East Delhi-Mayur Vihar,,,,,,,
,"10,79,820",18-01-2020,,201304,"1,134",East Delhi-Patparganj,,,,,,,
,"54,37,444",26-04-2019,,201306,533,Faridabad-West,,,,,,,
,"1,46,64,492",28-11-2019,,201309,556,Ghansoli,,,,,,,
,"1,04,60,444",12-08-2022,,201310,313,Ghatkopar East,,,,,,,
,"65,10,188",26-12-2022,,201318,"1,061",Ghatkopar West,,,,,,,
,"1,05,01,549",28-03-2021,,202001,360,Ghaziabad-Indirapuram,,,,,,,
,"1,12,78,055",15-03-2024,,204101,846,Gondia,,,,,,,
,"69,33,612",22-06-2022,,208001,420,Goregaon East,,,,,,,
,"1,07,02,264",12-05-2022,,208011,369,Goregaon East - Aarey,,,,,,,
,"1,67,66,126",04-11-2020,,208014,606,Goregaon West,,,,,,,
,"65,46,946",31-08-2019,,208017,410,Govandi,,,,,,,
,"1,13,38,936",14-02-2023,,208020,709,Gowane,,,,,,,
,"72,61,295",08-01-2025,,208021,415,Gurugram Sector -47/49/50,,,,,,,
,"1,46,87,713",17-12-2024,,208022,525,Gurugram Sector-28,,,,,,,
,"1,71,97,423",14-06-2021,,208027,594,Gurugram Sector-8,,,,,,,
,"80,40,312",27-06-2024,,210431,353,Guruwar Peth - Swargate,,,,,,,
,"2,14,78,734",30-12-2021,,211003,555,Gwalior-South,,,,,,,
,"1,64,00,028",01-09-2022,,211004,779,Hadapsar,,,,,,,
,"50,60,089",30-04-2019,,211006,962,Hadapsar - Sasanenagar,,,,,,,
,"1,05,01,055",21-10-2022,,211019,301,Haji Ali,,,,,,,
,"1,29,94,169",28-06-2019,,212507,764,Hanuman Nagar,,,,,,,
,"50,19,526",22-04-2021,,212601,"1,160",Ichalkaranji,,,,,,,
,"64,93,280",17-01-2020,,221001,575,Indore-South West,,,,,,,
